
Cien años de soledad,Gabriel García Márquez,1967
1984,George Orwell,1949
Moby Dick,Herman Melville,1851
,Jane Austen,1813
Orgullo y prejuicio,,1813
El gran Gatsby,F. Scott Fitzgerald,
Ulises,James Joyce,1922
Don Quijote de la Mancha,Miguel de Cervantes,1605
El principito,Antoine de Saint-Exupéry,1943
El código Da Vinci,Dan Brown,2003
,,
Harry Potter y la piedra filosofal,J.K. Rowling,1997
Crimen y castigo,Fiodor Dostoievski,1866
1984,George Orwell,1949
Cien años de soledad,Gabriel García Márquez,1967
Libro sin año,Autor Desconocido,ABC
Libro con año negativo,Autor Anónimo,-100
Libro con año futuro,Escritor Futurista,3000
Author Unknown,Author Unknown,2020
